"ID","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","Y"
75,237,53743,48,0.7421974148,0.9574043609,204,1,0,0,3.3,1.7,0
76,57,20047,13,0.8552139843,1,6214,0.9814814815,446,6667,8.3,4.3,0
77,16,23198,53,0.7583703524,0.9369191162,15866,0.6619831778,0,0,14,9.3,0
78,206,71776,72,0.8338637339,0.9909051909,9600,0.9980620155,37,60,8.7,8,0
79,6,5642,6,0.5164381542,0.7954444936,2297,0.5521281465,1307,23825,3,2,0
80,21,9393,10,0.9385964912,0.9385964912,183,1,520,13323,4.3,2.7,0
81,51,12921,16,0.8126811594,1,1744,1,46,75,6.7,2,0
82,200,104027,41,0.8087533843,0.8644774528,7092,0.8869047619,561,21560,2.7,1.7,0
83,34,18927,9,0.6450980392,0.822875817,1208,0.7601010101,0,0,3.7,3,0
84,504,67293,98,0.6906675668,1,4581,1,1,6100,17.3,11.3,0
85,69,44093,54,0.7466539622,0.8869466801,23250,0.7725009342,822,1333,4.3,3.3,0
86,201,83023,170,0.6057512504,0.9505145054,9583,0.9907407407,0,0,18.3,8.3,0
87,215,27401,124,0.7681167474,0.5018919849,9183,0.4579588795,1,4373,16.7,3.3,0
88,10,2111,2,0.5773809524,1,1358,0.2830687831,3770,47241,4,2.3,0
89,2,4644,5,0.775,0.95,1546,0.7772727273,4642,43755,2.3,2.7,0
90,295,17264,17,0.7933027012,1,1425,0.9615384615,311,505,7,4.3,0
91,1017,78179,320,0.7946500841,0.9992437131,14000,0.9360794958,0,0,13.7,7,0
92,10,3125,3,0.5555555556,0.9333333333,2686,0.3047086721,848,13667,1.3,1,0
93,118,23386,15,0.7590918473,0.9687822497,761,0.6794871795,62,100,4.3,2,0
94,83,16309,39,0.7416854536,0.9306280193,767,0.9743589744,136,220,4.3,3,0
95,30,18873,17,0.8971900089,1,2497,0.9594356261,74,120,7,5.3,0
96,0,266,0,0,1,1575,0.5063795853,1862,33807,2,1.7,0
97,38,63505,41,0.7470673953,0.9559139785,2283,0.9166666667,797,1293,3,2.3,0
98,20,13116,21,0.6810307018,0.9766447368,31247,0.9696462901,99,160,14.3,5,0
99,27,16813,24,0.8625149976,0.9928315412,2849,0.8561378202,0,0,3,2.7,0
100,0,0,0,0,1,50,1,2005,17756,0,0,0
101,29,22172,18,0.8616437422,0.8749069671,3492,0.8784431806,2773,56789,3,1.7,0
102,302,224093,426,0.7356586539,0.974826848,25256,0.8366040213,460,15821,7.3,4.3,0
103,25,19829,16,0.731428784,0.3972398914,3302,0.1282051282,1,2490,3,2,0
104,44,44234,45,0.7137066563,0.9861653272,5439,0.6875038616,0,0,11.7,5.3,0
105,15,5623,4,0.9444444444,1,564,1,246,8041,4.3,2.3,0
106,75,35905,37,0.616458041,0.985416705,2769,1,0,0,7.3,5.7,0
107,7,10313,6,0.8058179637,0.8509521667,1258,0.8299382716,100,6430,2.3,2,0
108,20,980,2,0.6740740741,1,458,1,625,33378,10.3,6,0
109,194,25773,126,0.923569427,0.7051040551,1269,0.4863247863,0,0,6.7,4.3,0
110,29,40348,17,0.7247554661,1,517,1,0,0,9.7,4.7,0
111,7,14237,7,0.8432017544,0.8084795322,8053,0.7184248493,726,34755,3.7,2,0
112,1,671,2,0.8083333333,1,764,0.8518518519,17027,27611,0.7,0.7,0
113,46,52172,30,0.7748792271,0.9557971014,6739,0.9195540156,497,21000,5.7,5.7,0
114,21,33265,21,0.678325259,0.9836346449,138,1,1,3720,2.7,2,0
115,62,32183,46,0.7268006226,0.9753243123,828,0.9696969697,0,0,6,4.3,0
116,86,18265,24,0.7517159278,0.8129310345,2222,0.898989899,0,0,6,2,0
117,6,4770,5,0.5436328378,1,23728,0.9954355055,0,0,12,3.3,0
118,103,10932,13,0.7183773216,1,4506,1,1328,16605,4,3,0
119,263,13486,17,0.7844597298,1,11956,0.9779394685,0,0,10,6.7,0
120,30,20597,15,0.6187782805,1,0,0,0,0,2.7,2.7,0
121,89,55077,100,0.7793607041,0.7581570208,18597,0.8451151605,12,20,7.7,3,0
122,25,4385,8,0.7382113821,0.7900875547,12767,0.6590639683,107,28228,17,5.7,0
123,0,458,0,0.6666666667,1,1714,0.8693009119,2461,56123,3.3,2,0
124,113,35907,24,0.7772612591,0.9690088801,7433,0.6682889706,283,30112,10,4.7,0
125,251,67674,104,0.8257646219,0.9772614072,2436,0.5637457146,832,35959,17.7,7.7,0
126,103,18227,34,0.7788427453,0.9956709957,15961,0.9178135509,0,0,6.7,4.7,0
127,188,161719,87,0.8376544116,0.9645854006,3678,0.9861111111,593,50000,5.7,2.7,0
128,26,14176,20,0.8394869215,0.9857142857,7825,0.7125331082,0,0,3,1.3,0
129,23,10016,13,0.6929814561,0.9444444444,29000,0.9869613995,0,0,12.7,2.3,0
130,118,116680,43,0.8477743035,0.6641769304,6303,0.8097001764,0,0,3.7,1.7,0
131,263,99413,186,0.7395455272,0.9887427529,12475,0.9943977591,0,0,8.3,4.7,0
132,154,56684,42,0.8100833063,0.9967948718,569,0.1416933651,11,7466,9.3,6.7,0
133,57,32303,60,0.7322288392,0.9961013645,5358,1,37,60,4.3,3,0
134,6,9749,7,0.7765432099,0.7604938272,10489,0.7203787498,0,0,1.3,1,0
135,9,2993,3,0.7264957265,0.8051282051,1203,0.4611111111,764,19451,1.3,1.3,0
136,467,54447,42,0.6993525817,0.9417410623,15008,0.6559054033,0,0,18.7,8.3,0
137,263,33193,69,0.7238857508,0.9585523718,19872,0.7669407142,146,236,8.7,4.7,0
138,240,27288,254,0.8038009345,1,3764,0.8065618592,0,0,4.7,1,0
139,306,38899,78,0.7523337474,0.8277607509,11078,0.4390595222,0,0,4.7,3.3,0
140,3,3719,3,0.7941176471,1,2442,0.9947916667,759,17059,2,1.7,0
141,19,22804,13,0.5954947332,0.9422555764,3700,0.9227145404,3083,5000,9.7,5.7,0
142,24,11156,16,0.584013209,0.9445831946,25644,0.8667607758,0,0,12.7,3.7,0
143,23,35250,35,0.7375763126,0.7855616606,2769,0.59664903,538,873,6,2.7,0
144,156,70987,193,0.818023923,0.9908599184,2314,0.2393906215,1030,1670,11.3,9,0
145,19,28673,22,0.8203508772,0.88,6981,0.8241515002,0,0,3.7,2.3,0
146,752,35225,157,0.7386541694,1,10361,0.790164885,0,0,7.3,2.3,0
147,23,12144,21,0.7920821114,0.9894954508,3381,0.873015873,1179,28952,5.3,3,0
148,97,17718,16,0.7037420459,0.9462365591,1583,1,0,0,7.3,2.7,0
149,774,49145,28,0.5991228897,0.9439852876,9406,0.9986772487,111,180,2.7,1.3,0
150,73,27377,23,0.8231442577,0.8082983193,6044,0.6073041967,285,12122,7,3,0
151,74,45199,24,0.631162465,0.926678338,1322,0.5938271605,3,11635,6.7,4.7,0
152,5,14352,18,0.8454733672,0.6696467783,6308,0.4070037106,610,38653,11,6,0
153,38,9090,23,0.9810606061,0.9702020202,9983,0.6965345541,30,2806,5,3,0
154,75,28028,39,0.794909177,0.8764456532,8500,0.6480362727,0,0,15.7,3.3,0
155,13,13592,23,0.771043771,0.8507455507,16806,0.9869666565,0,0,7.7,4.7,0
156,4,11417,7,0.7853174603,0.9680555556,214,1,10278,16667,2,1.7,0
157,130,38407,69,0.7144299719,0.9968434766,1383,0.6560846561,224,675,6.7,5,0
158,1,4126,6,0.7241048593,0.9791666667,3064,0.9649122807,526,24560,5.3,4.7,0
159,21,10246,4,0.373655914,0.9784946237,2208,0.904207581,228,21985,6.3,4,0
160,71,10236,12,0.1844660194,0.996763754,12983,0.991408351,12,20,8.3,3,0
161,2,9363,4,0.8333333333,0.5962962963,5169,0.4511315751,720,53545,2.3,1,0
162,138,30702,39,0.7272471258,0.996941896,4497,0.8616187272,77,15610,7.7,5.3,0
163,7,6597,5,0.9166247696,0.9814814815,4683,0.9004329004,1215,83031,3.7,3,0
164,39,18231,25,0.6526358793,0.9869300912,4614,0.8185019206,0,0,4,2.3,0
165,30,22437,18,0.797534543,0.9370381618,3231,0.8749109687,37,2520,6,4.3,0
166,68,36749,51,0.7564281443,0.9880672381,8993,0.9785275331,1777,2882,15,6.7,0
